http://ok.zoho.to//i/?T=%E5%A4%AE%E5%8D%AB%E7%94%B5%E8%A7%86%E6%96%87%E4%BB%B6
中央卫视,#genre#
山西卫视,http://183.191.188.99:8005/rtp/226.0.2.152:9128$山西联通fofa
山西卫视,http://60.223.72.191:8003/rtp/226.0.2.152:9128$山西联通fofa
山西卫视,http://171.126.19.3:4000/rtp/226.0.2.152:9128$山西联通fofa
山西卫视,http://183.191.177.44:8005/rtp/226.0.2.152:9128$山西联通fofa
山西卫视,http://183.191.188.99:8003/rtp/226.0.2.152:9128$山西sxup
深圳卫视,http://58.48.105.149:4022/rtp/239.254.96.137:8896$湖北cphp1
深圳卫视,http://58.35.103.119:3333/rtp/239.45.3.231:5140$上海电信fofa
深圳卫视,http://27.19.146.199:2701/rtp/239.254.96.137:8896$湖北sxcp
深圳卫视,http://61.173.162.19:5000/rtp/239.45.3.231:5140$上海电信fofa
深圳卫视,http://116.237.139.191:8888/rtp/239.45.3.231:5140$上海电信fofa
陕西卫视,http://171.213.160.44:4022/rtp/239.93.0.143:5140$四川cphp4
陕西卫视,http://171.213.239.116:8188/rtp/239.93.0.143:5140$四川cip1
陕西卫视,http://171.213.239.116:8188/rtp/239.93.0.143:5140$四川cphp1
陕西卫视,http://171.213.213.138:4022/rtp/239.93.0.143:5140$四川cphp3
陕西卫视,http://144.255.80.160:8664/rtp/239.21.1.30:5002$山东电信fofa
天津卫视,http://58.35.103.119:3333/rtp/239.45.1.124:5140$上海电信fofa
天津卫视,http://58.48.105.149:4022/rtp/239.69.1.68:10048$湖北cphp1
天津卫视,http://27.19.146.199:2701/rtp/239.69.1.68:10048$湖北sxcp
天津卫视,http://61.173.162.19:5000/rtp/239.45.1.124:5140$上海电信fofa
天津卫视,http://116.237.139.191:8888/rtp/239.45.1.124:5140$上海电信fofa
厦门卫视,http://171.213.239.116:8188/rtp/239.93.42.57:5140$四川cip1
厦门卫视,http://171.213.239.116:8188/rtp/239.93.42.57:5140$四川cphp1
厦门卫视,http://171.213.160.44:4022/rtp/239.93.42.57:5140$四川cphp4
厦门卫视,http://171.213.213.138:4022/rtp/239.93.42.57:5140$四川cphp3
云南卫视,http://58.35.103.119:3333/rtp/239.45.0.4:5140$上海电信fofa
云南卫视,http://116.237.139.191:8888/rtp/239.45.0.4:5140$上海电信fofa
云南卫视,http://61.173.162.19:5000/rtp/239.45.0.4:5140$上海电信fofa
云南卫视,http://180.165.14.247:7088/rtp/239.45.0.4:5140$上海cip2
云南卫视,http://113.83.248.51:4200/rtp/239.253.43.37:5146$广东cphp1
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://27.19.146.199:2701/rtp/239.254.96.143:8932$湖北sxcp
浙江卫视,http://61.173.162.19:5000/rtp/239.45.3.178:5140$上海电信fofa
浙江卫视,http://58.48.105.149:4022/rtp/239.254.96.143:8932$湖北cphp1
浙江卫视,http://116.237.139.191:8888/rtp/239.45.3.178:5140$上海电信fofa
兵团卫视,http://222.90.155.221:7286/rtp/239.112.205.198:5140$陕西cip1
兵团卫视,http://113.101.244.252:10000/rtp/239.77.1.80:5146$广东sxcp
兵团卫视,http://113.95.136.99:8888/rtp/239.77.1.80:5146$广东电信fofa
兵团卫视,http://58.62.87.142:4022/rtp/239.77.1.80:5146$广东电信fofa
兵团卫视,http://113.83.248.51:4200/rtp/239.77.1.80:5146$广东cphp1
农林卫视,http://122.5.221.178:4023/rtp/239.21.1.235:5002$山东电信fofa
农林卫视,http://123.168.202.152:4020/rtp/239.21.1.235:5002$山东sxcp
农林卫视,http://144.255.44.215:4022/rtp/239.21.1.235:5002$山东电信fofa
农林卫视,http://182.32.160.6:9997/rtp/239.21.1.235:5002$山东sxcp
农林卫视,http://144.255.80.160:8664/rtp/239.21.1.235:5002$山东电信fofa
厦门卫视,http://222.90.155.221:7286/rtp/239.112.205.60:5140$陕西cip1
康巴卫视,http://171.213.239.116:8188/rtp/239.93.0.41:5140$四川cphp1
康巴卫视,http://171.213.239.116:8188/rtp/239.93.0.41:5140$四川cip1
康巴卫视,http://171.213.213.138:4022/rtp/239.93.0.41:5140$四川cphp3
康巴卫视,http://171.213.160.44:4022/rtp/239.93.0.41:5140$四川cphp4
延边卫视,http://113.95.136.99:8888/rtp/239.77.0.10:5146$广东电信fofa
延边卫视,http://116.30.250.10:9876/rtp/239.77.0.10:5146$广东电信fofa
延边卫视,http://113.109.250.40:9999/rtp/239.77.0.10:5146$广东电信fofa
延边卫视,http://113.95.132.141:554/rtp/239.77.0.10:5146$广东电信fofa
延边卫视,http://113.101.245.95:1020/rtp/239.77.0.10:5146$广东电信fofa
新疆卫视,http://222.90.155.221:7286/rtp/239.112.205.56:5140$陕西cip1
新疆卫视,http://116.237.139.191:8888/rtp/239.45.1.116:5140$上海电信fofa
新疆卫视,http://61.173.162.19:5000/rtp/239.45.1.116:5140$上海电信fofa
新疆卫视,http://58.35.103.119:3333/rtp/239.45.1.116:5140$上海电信fofa
新疆卫视,http://180.165.14.247:7088/rtp/239.45.1.116:5140$上海cip2
星空卫视,http://116.77.33.98:44330/tsfile/live/1012_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威1
西藏卫视,http://61.173.162.19:5000/rtp/239.45.1.231:5140$上海电信fofa
西藏卫视,http://222.90.155.221:7286/rtp/239.112.205.54:5140$陕西cip1
西藏卫视,http://116.237.139.191:8888/rtp/239.45.1.231:5140$上海电信fofa
西藏卫视,http://58.35.103.119:3333/rtp/239.45.1.231:5140$上海电信fofa
西藏卫视,http://180.165.14.247:7088/rtp/239.45.1.231:5140$上海cip2
