http://txt.kesug.com/users/HKTV.txt
HKTV,#genre#
东森新闻,http://iptv.4666888.xyz/iptv.php?id=20174
东森新闻,http://iptv.4666888.xyz/iptv.php?id=20175
tvbs新闻,http://iptv.4666888.xyz/iptv.php?id=20168
三立新闻,http://iptv.4666888.xyz/iptv.php?id=20169
三立新闻,http://iptv.4666888.xyz/iptv.php?id=20170
年代新闻,http://iptv.4666888.xyz/iptv.php?id=20178
非凡新闻,http://iptv.4666888.xyz/iptv.php?id=20179
镜新闻,http://iptv.4666888.xyz/iptv.php?id=20180
民视新闻,http://iptv.4666888.xyz/iptv.php?id=20177
中视新闻,http://iptv.4666888.xyz/iptv.php?id=20171
台视新闻,http://iptv.4666888.xyz/iptv.php?id=20172
公视,http://iptv.4666888.xyz/iptv.php?id=20185
民视,http://iptv.4666888.xyz/iptv.php?id=20182
中视,http://iptv.4666888.xyz/iptv.php?id=20183
华视,http://iptv.4666888.xyz/iptv.php?id=20184
台视,http://iptv.4666888.xyz/iptv.php?id=20186
寰宇,http://iptv.4666888.xyz/iptv.php?id=20293
tvbs,http://iptv.4666888.xyz/iptv.php?id=20188
公视戏剧,http://iptv.4666888.xyz/iptv.php?id=20292
民视第一,http://iptv.4666888.xyz/iptv.php?id=20215
民视闽语,http://iptv.4666888.xyz/iptv.php?id=20216
民视影剧,http://iptv.4666888.xyz/iptv.php?id=20219
民视旅游,http://iptv.4666888.xyz/iptv.php?id=20218
民视综艺,http://iptv.4666888.xyz/iptv.php?id=20217
中视经典,http://iptv.4666888.xyz/iptv.php?id=20221
中视菁采,http://iptv.4666888.xyz/iptv.php?id=20222
中天娱乐,http://iptv.4666888.xyz/iptv.php?id=20194
中天综合,http://iptv.4666888.xyz/iptv.php?id=20195
中天亚洲,http://iptv.4666888.xyz/iptv.php?id=20196
台视综合,http://iptv.4666888.xyz/iptv.php?id=20220
三立台湾,http://iptv.4666888.xyz/iptv.php?id=20202
三立戏剧,http://iptv.4666888.xyz/iptv.php?id=20203
三立综合,http://iptv.4666888.xyz/iptv.php?id=20204
三立都会,http://iptv.4666888.xyz/iptv.php?id=20205
八大第一,http://iptv.4666888.xyz/iptv.php?id=20197
八大综合,http://iptv.4666888.xyz/iptv.php?id=20198
八大戏剧,http://iptv.4666888.xyz/iptv.php?id=20199
八大娱乐,http://iptv.4666888.xyz/iptv.php?id=20200
八大精采,http://iptv.4666888.xyz/iptv.php?id=20201
龙华电影,http://iptv.4666888.xyz/iptv.php?id=20240
龙华戏剧,http://iptv.4666888.xyz/iptv.php?id=20241
龙华洋片,http://iptv.4666888.xyz/iptv.php?id=20242
龙华偶像,http://iptv.4666888.xyz/iptv.php?id=20243
龙华日韩,http://iptv.4666888.xyz/iptv.php?id=20244
龙华经典,http://iptv.4666888.xyz/iptv.php?id=20245
龙华卡通,http://iptv.4666888.xyz/iptv.php?id=20246
龙祥时代,http://iptv.4666888.xyz/iptv.php?id=20247
纬来体育,http://iptv.4666888.xyz/iptv.php?id=20225
纬来日本,http://iptv.4666888.xyz/iptv.php?id=20226
纬来电影,http://iptv.4666888.xyz/iptv.php?id=20227
纬来综合,http://iptv.4666888.xyz/iptv.php?id=20228
纬来精采,http://iptv.4666888.xyz/iptv.php?id=20229
东森综合,http://iptv.4666888.xyz/iptv.php?id=20206
东森戏剧,http://iptv.4666888.xyz/iptv.php?id=20207
东森超视,http://iptv.4666888.xyz/iptv.php?id=20208
东森美洲,http://iptv.4666888.xyz/iptv.php?id=20210
东森电影,http://iptv.4666888.xyz/iptv.php?id=20211
东森洋片,http://iptv.4666888.xyz/iptv.php?id=20212
东森幼幼,http://iptv.4666888.xyz/iptv.php?id=20213
tvbs精采,http://iptv.4666888.xyz/iptv.php?id=20191
tvbs欢乐,http://iptv.4666888.xyz/iptv.php?id=20189
tvbs亚洲,http://iptv.4666888.xyz/iptv.php?id=20190
tvbs台剧,http://iptv.4666888.xyz/iptv.php?id=20193
靖洋戏剧,http://iptv.4666888.xyz/iptv.php?id=20294
靖洋卡通,http://iptv.4666888.xyz/iptv.php?id=20295
靖天卡通,http://iptv.4666888.xyz/iptv.php?id=20237
靖天国际,http://iptv.4666888.xyz/iptv.php?id=20236
靖天综合,http://iptv.4666888.xyz/iptv.php?id=20296
靖天欢乐,http://iptv.4666888.xyz/iptv.php?id=20297
靖天映画,http://iptv.4666888.xyz/iptv.php?id=20298
靖天戏剧,http://iptv.4666888.xyz/iptv.php?id=20299
靖天电影,http://iptv.4666888.xyz/iptv.php?id=20300
