http://txt.gt.tc/users/HKTV.txt
港澳频道,#genre#
CCTV2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=okZomv&tk=OAqBIJ73tkHQ
CCTV3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=SoYbee&tk=OAqBIJ73tkHQ
CCTV4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=5vSMw9&tk=OAqBIJ73tkHQ
CCTV5,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=C7TNyr&tk=OAqBIJ73tkHQ
CCTV6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=SdPzyX&tk=OAqBIJ73tkHQ
CCTV7,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vcbOOo&tk=OAqBIJ73tkHQ
CCTV8,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=iiPMh0&tk=OAqBIJ73tkHQ
CCTV9,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nsTwan&tk=OAqBIJ73tkHQ
CCTV10,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MKR3Xg&tk=OAqBIJ73tkHQ
CCTV11,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=oJSuwx&tk=OAqBIJ73tkHQ
CCTV12,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=79lYne&tk=OAqBIJ73tkHQ
CCTV13,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2zfjh1&tk=OAqBIJ73tkHQ
CCTV14,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bo9bXY&tk=OAqBIJ73tkHQ
CCTV15,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fNaICM&tk=OAqBIJ73tkHQ
CCTV16,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hjSwVs&tk=OAqBIJ73tkHQ
卫视频道,#genre#
广西卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=tcTrwF&tk=OAqBIJ73tkHQ
海南卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CO3C8p&tk=OAqBIJ73tkHQ
河南卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WGkpaC&tk=OAqBIJ73tkHQ
湖北卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fqihU3&tk=OAqBIJ73tkHQ
湖南卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mvnE2j&tk=OAqBIJ73tkHQ
怀旧剧场,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=tqgiFo&tk=OAqBIJ73tkHQ
江苏卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=O5Vl7m&tk=OAqBIJ73tkHQ
数字电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yFvozs&tk=OAqBIJ73tkHQ
深圳卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=KZT4LZ&tk=OAqBIJ73tkHQ
四川卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=aVn2S9&tk=OAqBIJ73tkHQ
重庆卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=roze0P&tk=OAqBIJ73tkHQ
浙江卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=rlc8Ps&tk=OAqBIJ73tkHQ
浙江卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=5Gtemz&tk=OAqBIJ73tkHQ
东方卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gKzdoH&tk=OAqBIJ73tkHQ
北京卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qiau2C&tk=OAqBIJ73tkHQ
江西卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LrFv28&tk=OAqBIJ73tkHQ
山东卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=kVvY4v&tk=OAqBIJ73tkHQ
安徽卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=kUA3d3&tk=OAqBIJ73tkHQ
天津卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BA1hv8&tk=OAqBIJ73tkHQ
贵州卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=TP4NoJ&tk=OAqBIJ73tkHQ
河北卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2bL01p&tk=OAqBIJ73tkHQ
山西卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8YvEJ0&tk=OAqBIJ73tkHQ
陕西卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Yjnezq&tk=OAqBIJ73tkHQ
内蒙古卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=D1hUST&tk=OAqBIJ73tkHQ
吉林卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0K7u64&tk=OAqBIJ73tkHQ
西藏卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=59Xkib&tk=OAqBIJ73tkHQ
