http://be.is-best.net/i/8/5611948.txt
IPTV上海,#genre#
南京十八,http://home.amucn.net:8800/udp/239.49.0.26:8200
BesTV4K,http://home.amucn.net:8800/udp/239.49.0.144:8000
BesTV4K,http://home.amucn.net:8800/udp/239.49.0.201:8000
BesTV4K,http://home.amucn.net:8800/udp/239.49.0.202:8000
欢笑剧场4K,http://home.amucn.net:8800/udp/239.49.8.106:8000
欢笑剧场,http://home.amucn.net:8800/udp/239.49.8.47:8060
生活时尚,http://home.amucn.net:8800/udp/239.49.8.40:8004
游戏风云,http://home.amucn.net:8800/udp/239.49.8.41:8012
动漫秀场,http://home.amucn.net:8800/udp/239.49.8.43:8028
乐游,http://home.amucn.net:8800/udp/239.49.8.44:8036
都市剧场,http://home.amucn.net:8800/udp/239.49.8.45:8044
金鹰纪实,http://home.amucn.net:8800/udp/239.49.8.79:8000
金鹰卡通,http://home.amucn.net:8800/udp/239.49.8.33:8000
第一财经,http://home.amucn.net:8800/udp/239.49.8.37:8000
睛彩竞技,http://home.amucn.net:8800/udp/239.49.8.39:8000
睛彩篮球,http://home.amucn.net:8800/udp/239.49.8.42:8000
睛彩青少,http://home.amucn.net:8800/udp/239.49.8.46:8000
睛彩广场舞,http://home.amucn.net:8800/udp/239.49.8.64:8000
梨园频道,http://home.amucn.net:8800/udp/239.49.8.193:8000
中国天气,http://home.amucn.net:8800/udp/239.49.0.94:8000
东方财经,http://home.amucn.net:8800/udp/239.49.0.95:8000
法治天地,http://home.amucn.net:8800/udp/239.49.0.96:8000
生活时尚,http://home.amucn.net:8800/udp/239.49.0.97:8000
都市剧场,http://home.amucn.net:8800/udp/239.49.0.99:8000
快乐垂钓,http://home.amucn.net:8800/udp/239.49.0.114:8000
茶频道,http://home.amucn.net:8800/udp/239.49.0.146:8000
卡酷少儿,http://home.amucn.net:8800/udp/239.49.0.148:8000
武术世界,http://home.amucn.net:8800/udp/239.49.0.205:8000
文物宝库,http://home.amucn.net:8800/udp/239.49.0.209:8000
书画,http://home.amucn.net:8800/udp/239.49.0.123:8000
先锋乒羽,http://home.amucn.net:8800/udp/239.49.0.145:8000
第一财经,http://home.amucn.net:8800/udp/239.49.0.30:8232
金色学堂,http://home.amucn.net:8800/udp/239.49.0.31:8240
都市剧场,http://home.amucn.net:8800/udp/239.49.0.32:8248
动漫秀场,http://home.amucn.net:8800/udp/239.49.0.33:8256
