臺灣 Taiwan,#genre#
Skysports NFL,http://xtvantsc.xyz/Smart.php?id=tiankongnfl
Skysports Racing,http://xtvantsc.xyz/Smart.php?id=tiankongracing
Skysports Mix,http://xtvantsc.xyz/Smart.php?id=tiankongmix
CCTV-5,http://xtvantsc.xyz/Smart.php?id=cctv5
CCTV-5+,http://xtvantsc.xyz/Smart.php?id=cctv5plus
愛爾達體育2台,http://xtvantsc.xyz/Smart.php?id=eltasport2_twn
愛爾達體育3台,http://xtvantsc.xyz/Smart.php?id=eltasport3_twn
RTM Sports HD,http://xtvantsc.xyz/Smart.php?id=Rtmsport
Arena,http://xtvantsc.xyz/Smart.php?id=Arena
Arena 2,http://xtvantsc.xyz/Smart.php?id=Arena2
BolaArena 1,http://xtvantsc.xyz/Smart.php?id=Bolaarena1
Bein 1 Sports,http://xtvantsc.xyz/Smart.php?id=bein1_mega
Bein 2 Sports,http://xtvantsc.xyz/Smart.php?id=bein2_mega
Bein 3 Sports,http://xtvantsc.xyz/Smart.php?id=bein3_mega
Bein 4 Sports,http://xtvantsc.xyz/Smart.php?id=bein4_mega
Bein 5 Sports,http://xtvantsc.xyz/Smart.php?id=bein5_mega
Bein 6 Sports,http://xtvantsc.xyz/Smart.php?id=bein6_mega
Bein 7 Sports,http://xtvantsc.xyz/Smart.php?id=bein7_mega
Rugby Pass TV,http://xtvantsc.xyz/Smart.php?id=Rugbypasstv
BolaArena 2,http://xtvantsc.xyz/Smart.php?id=Bolaarena2
印度 Indian,#genre#
Sun TV HD,http://xtvantsc.xyz/Smart.php?id=Suntv
Star Vijay,http://xtvantsc.xyz/Smart.php?id=Starvijay
Colors Tamil,http://xtvantsc.xyz/Smart.php?id=Colorstam_mega
Sun Music,http://xtvantsc.xyz/Smart.php?id=Sunmusic
Astro Sunlife,http://xtvantsc.xyz/Smart.php?id=Sunlife
Astro Vaanavil,http://xtvantsc.xyz/Smart.php?id=Vaanavil
Zee Tamil,http://xtvantsc.xyz/Smart.php?id=Zeetamil
Zee Business,http://xtvantsc.xyz/Smart.php?id=Zeebusiness
