🇨🇳央视IPTV,#genre#
CCTV2,http://118.77.119.46:8999/rtp/226.0.2.154:9144$线路24
CCTV2,http://58.19.180.108:9981/stream/channelid/980211261?profile=pass$线路25
CCTV2,http://211.92.28.211:3136/rtp/225.0.4.132:7980$线路26
CCTV2,http://222.83.161.190:9003/rtp/239.81.0.115:4056$线路27
CCTV2,http://219.141.44.171:8188/udp/238.255.2.11:5999$线路28
CCTV2,http://1.203.76.24:8866/rtp/225.1.8.2:8084$线路29
CCTV2,http://180.213.170.24:8188/rtp/239.5.1.5:5000$线路30
CCTV2,http://221.224.197.251:9901/tsfile/live/0002_1.m3u8?key=txiptv$线路31
CCTV2,http://60.163.104.63:9999/rtp/233.50.201.119:5140$线路32
CCTV2,http://60.163.104.63:9999/rtp/233.50.200.25:5140$线路33
CCTV2,http://180.165.20.37:7777/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路34
CCTV2,http://myddns.com.cn:9999/udp/233.50.200.100:5140$线路35
CCTV2,http://myddns.com.cn:9999/udp/233.50.201.119:5140$线路36
CCTV2,http://myddns.com.cn:9999/udp/233.50.200.25:5140$线路37
CCTV2,http://myddns.com.cn:9999/udp/233.50.201.2:5140$线路38
CCTV2,http://61.145.188.90:50005/rtp/239.77.0.137:5146$线路39
CCTV2,http://61.145.188.90:50005/rtp/239.77.1.28:5146$线路40
CCTV2,http://183.47.2.156:16883/rtp/239.77.1.158:5146$线路41
CCTV2,http://183.47.2.156:16883/rtp/239.77.0.137:5146$线路42
CCTV2,http://183.47.2.156:16883/rtp/239.77.1.28:5146$线路43
CCTV2,http://171.213.235.189:10043/rtp/239.93.1.23:6000$线路44
CCTV2,http://nas.swes.cn:8089/udp/239.93.1.23:6000$线路45
CCTV2,http://106.111.244.182:60001/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路46
CCTV2,http://183.131.246.250:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路47
CCTV2,http://171.213.170.254:8188/udp/239.93.1.23:6000$线路48
CCTV2,http://221.13.235.178:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路49
CCTV2,http://171.12.10.135:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路50
CCTV2,http://106.115.25.151:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$线路51
CCTV2,http://1.197.253.170:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路52
CCTV2,http://180.111.28.29:8888/rtp/239.49.8.50:9802$线路53
