斯玛特 央卫,#genre#
纬来日本台,http://150.138.77.132:10037/xxw/Smartv.php?id=videolandjapan
纬来电影台,http://150.138.77.132:10037/xxw/Smartv.php?id=videolandmovie_twn
纬来体育台,http://150.138.77.132:10037/xxw/Smartv.php?id=videolandsport
纬来综合台,http://150.138.77.132:10037/xxw/Smartv.php?id=videolandzonghe
纬来精彩,http://150.138.77.132:10037/xxw/Smartv.php?id=videolandspecial_twn
好消息 2,http://150.138.77.132:10037/xxw/Smartv.php?id=goods_twn
大爱2台,http://150.138.77.132:10037/xxw/Smartv.php?id=catchplay_twn
亚洲美食,http://150.138.77.132:10037/xxw/Smartv.php?id=afc_twn
美食星球,http://150.138.77.132:10037/xxw/Smartv.php?id=foodplanet_twn
亚洲旅游 TLC Asia,http://150.138.77.132:10037/xxw/Smartv.php?id=tlc_twn
东森电影 ETTV Movie,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvmovie
阿里郎 Arirang,http://150.138.77.132:10037/xxw/Smartv.php?id=arirang_twn
博斯运动 1,http://150.138.77.132:10037/xxw/Smartv.php?id=bosisport1_twn
博斯运动 2,http://150.138.77.132:10037/xxw/Smartv.php?id=bosisport2_twn
博斯高球2 HD,http://150.138.77.132:10037/xxw/Smartv.php?id=bosigolf2_twn
博斯网球 HD,http://150.138.77.132:10037/xxw/Smartv.php?id=bositennis_twn
东森洋片 ETTV Western,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvwestern
龙华洋片 Lunghua Western,http://150.138.77.132:10037/xxw/Smartv.php?id=lunghuawestern_twn
博斯无限,http://150.138.77.132:10037/xxw/Smartv.php?id=bosiunlimited_twn
MTV Live,http://150.138.77.132:10037/xxw/Smartv.php?id=mtvhd_twn
龙详时代,http://150.138.77.132:10037/xxw/Smartv.php?id=lungxiangtime_twn
EYETV 旅游,http://150.138.77.132:10037/xxw/Smartv.php?id=eyetvtravel_twn
靖天卡通台,http://150.138.77.132:10037/xxw/Smartv.php?id=jingtiancartoon_twn
EYETV 戏剧,http://150.138.77.132:10037/xxw/Smartv.php?id=eyetvxiju_twn
卫视中文台 Star Movies Chinese,http://150.138.77.132:10037/xxw/Smartv.php?id=weishichinese_twn
东森幼幼 Yoyo TV,http://150.138.77.132:10037/xxw/Smartv.php?id=yoyo_twn
卫视电影台,http://150.138.77.132:10037/xxw/Smartv.php?id=weishimovie_twn
美亚电影,http://150.138.77.132:10037/xxw/Smartv.php?id=meiyamovie_twn
爱尔达影剧台,http://150.138.77.132:10037/xxw/Smartv.php?id=eltayingju_twn
爱尔达综合台,http://150.138.77.132:10037/xxw/Smartv.php?id=eltazonghe_twn
星卫电影,http://150.138.77.132:10037/xxw/Smartv.php?id=xingwei_movie
爱尔达影剧,http://150.138.77.132:10037/xxw/Smartv.php?id=eltayingju_twn
爱尔达体育2台,http://150.138.77.132:10037/xxw/Smartv.php?id=eltasport2_twn
爱尔达体育3台,http://150.138.77.132:10037/xxw/Smartv.php?id=eltasport3_twn
AFC 亚洲旅游台,http://150.138.77.132:10037/xxw/Smartv.php?id=asiatravel_twn



翡翠,http://150.138.77.132:10037/xxw/Smartv.php?id=jade_twn
翡翠,http://150.138.77.132:10037/xxw/Smartv.php?id=Jade_xue
iNews,http://150.138.77.132:10037/xxw/Smartv.php?id=inews_twn
J2,http://150.138.77.132:10037/xxw/Smartv.php?id=j2_twn
明珠,http://150.138.77.132:10037/xxw/Smartv.php?id=pearl_twn
凤凰香港,http://150.138.77.132:10037/xxw/Smartv.php?id=hkphoenix_twn
HOY,http://150.138.77.132:10037/xxw/Smartv.php?id=hoycaijing_twn
RTHK31,http://150.138.77.132:10037/xxw/Smartv.php?id=rhk31_twn
Viu,http://150.138.77.132:10037/xxw/Smartv.php?id=viu1_twn
RTHK32,http://150.138.77.132:10037/xxw/Smartv.php?id=rhk32_twn
凤凰中文,http://150.138.77.132:10037/xxw/Smartv.php?id=phoenixtv_hd
凤凰资讯,http://150.138.77.132:10037/xxw/Smartv.php?id=phoenixinfo_hd
Viu6,http://150.138.77.132:10037/xxw/Smartv.php?id=viusix_twn


Astro Beinsports1,http://150.138.77.132:10037/xxw/Smartv.php?id=Astrobein1
Astro Beinsports2,http://150.138.77.132:10037/xxw/Smartv.php?id=Astrobein2
Astro Beinsports3,http://150.138.77.132:10037/xxw/Smartv.php?id=Astrobein3
TVBS News,http://150.138.77.132:10037/xxw/Smartv.php?id=tvbs_n
TVBS欢乐,http://150.138.77.132:10037/xxw/Smartv.php?id=tvbshuanle_twn
TVBS HD,http://150.138.77.132:10037/xxw/Smartv.php?id=tvbs
中天新闻,http://150.138.77.132:10037/xxw/Smartv.php?id=ctinews
中天娱乐,http://150.138.77.132:10037/xxw/Smartv.php?id=ctient
中天综合,http://150.138.77.132:10037/xxw/Smartv.php?id=ctizhonghe
中天亚洲,http://150.138.77.132:10037/xxw/Smartv.php?id=ctiasia_twn
台视,http://150.138.77.132:10037/xxw/Smartv.php?id=ttv_taiwan
台视新闻,http://150.138.77.132:10037/xxw/Smartv.php?id=ttvnews_twn
台视综合,http://150.138.77.132:10037/xxw/Smartv.php?id=ttvzhonghe
中视,http://150.138.77.132:10037/xxw/Smartv.php?id=zhongshihd_twn
中视新闻,http://150.138.77.132:10037/xxw/Smartv.php?id=zhongshinews_twn
民视,http://150.138.77.132:10037/xxw/Smartv.php?id=ftvhd_taiwan
民视新闻,http://150.138.77.132:10037/xxw/Smartv.php?id=ftvnew_taiwan
民视台湾,http://150.138.77.132:10037/xxw/Smartv.php?id=ftvtaiwan_twn
华视,http://150.138.77.132:10037/xxw/Smartv.php?id=ctshd_twn
公视,http://150.138.77.132:10037/xxw/Smartv.php?id=ctv18_twn
八大第1,http://150.138.77.132:10037/xxw/Smartv.php?id=badafirst
八大综合,http://150.138.77.132:10037/xxw/Smartv.php?id=badazhonghe
八大戏剧,http://150.138.77.132:10037/xxw/Smartv.php?id=badadrama
八大娱乐,http://150.138.77.132:10037/xxw/Smartv.php?id=badaentertain
HBOHD,http://150.138.77.132:10037/xxw/Smartv.php?id=hbohd_twn
HBO Hits,http://150.138.77.132:10037/xxw/Smartv.php?id=hbohit_twn
Holly Wood Movies,http://150.138.77.132:10037/xxw/Smartv.php?id=hollywoodmovies_twn
三立台湾,http://150.138.77.132:10037/xxw/Smartv.php?id=sanlitaiwan
三立戏剧,http://150.138.77.132:10037/xxw/Smartv.php?id=sanlixiju_twn
三立综合 Sanli Metro,http://150.138.77.132:10037/xxw/Smartv.php?id=sanlizhonghe
三立都会,http://150.138.77.132:10037/xxw/Smartv.php?id=sanlidouhui
东森新闻,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvnews
Cinemax,http://150.138.77.132:10037/xxw/Smartv.php?id=cinemax_twn
东森综合,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvzhonghe
东森戏剧,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvdrama
东森超视,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvsuper
东森财经新闻,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvcaijing_twn
寰宇财经,http://150.138.77.132:10037/xxw/Smartv.php?id=huanyutaiwan_twn
寰宇新闻,http://150.138.77.132:10037/xxw/Smartv.php?id=huanyuxinwen_twn
公视2,http://150.138.77.132:10037/xxw/Smartv.php?id=ctv2_twn
大爱1,http://150.138.77.132:10037/xxw/Smartv.php?id=daai_twn
非凡新闻,http://150.138.77.132:10037/xxw/Smartv.php?id=feifannews_twn
龙华戏剧,http://150.138.77.132:10037/xxw/Smartv.php?id=lunghuaxiju_twn
龙华经典,http://150.138.77.132:10037/xxw/Smartv.php?id=lunghuajingdian_twn
龙华偶像,http://150.138.77.132:10037/xxw/Smartv.php?id=lunghuaidol_twn
AXN,http://150.138.77.132:10037/xxw/Smartv.php?id=axn_twn
靖天国际,http://150.138.77.132:10037/xxw/Smartv.php?id=jingtianintl_twn
年代新闻,http://150.138.77.132:10037/xxw/Smartv.php?id=niandainews_twn
纬来日本,http://150.138.77.132:10037/xxw/Smartv.php?id=videolandjapan
纬来电影,http://150.138.77.132:10037/xxw/Smartv.php?id=videolandmovie
纬来体育,http://150.138.77.132:10037/xxw/Smartv.php?id=videolandsport
纬来综合,http://150.138.77.132:10037/xxw/Smartv.php?id=videolandzonghe
纬来育乐,http://150.138.77.132:10037/xxw/Smartv.php?id=videolandyule
纬来精彩,http://150.138.77.132:10037/xxw/Smartv.php?id=videolandspecial_twn
好消息2,http://150.138.77.132:10037/xxw/Smartv.php?id=good2_twn
大爱2,http://150.138.77.132:10037/xxw/Smartv.php?id=daai2_twn
亚洲美食,http://150.138.77.132:10037/xxw/Smartv.php?id=afc_twn
美食星球,http://150.138.77.132:10037/xxw/Smartv.php?id=foodplanet_twn
亚洲旅游,http://150.138.77.132:10037/xxw/Smartv.php?id=tlc_twn
东森电影,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvmovie
Arirang,http://150.138.77.132:10037/xxw/Smartv.php?id=arirang_twn
博斯运动1,http://150.138.77.132:10037/xxw/Smartv.php?id=bosisport1_twn
博斯运动2,http://150.138.77.132:10037/xxw/Smartv.php?id=bosisport2_twn
博斯高球2,http://150.138.77.132:10037/xxw/Smartv.php?id=bosigolf2_twn
博斯网球,http://150.138.77.132:10037/xxw/Smartv.php?id=bositennis_twn
东森洋片,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvwestern
龙华洋片,http://150.138.77.132:10037/xxw/Smartv.php?id=lunghuawestern_twn
博斯无限,http://150.138.77.132:10037/xxw/Smartv.php?id=bosiunlimited_twn
MTV Live,http://150.138.77.132:10037/xxw/Smartv.php?id=mtvhd_twn
龙详时代,http://150.138.77.132:10037/xxw/Smartv.php?id=lungxiangtime_twn#http://xn--94q.l5.ca/daili/Smartv.php?id=lungxiangtime_twn
EYETV旅游,http://150.138.77.132:10037/xxw/Smartv.php?id=eyetvtravel_twn
靖天卡通,http://150.138.77.132:10037/xxw/Smartv.php?id=jingtiancartoon_twn
EYETV戏剧,http://150.138.77.132:10037/xxw/Smartv.php?id=eyetvxiju_twn
卫视中文,http://150.138.77.132:10037/xxw/Smartv.php?id=weishichinese_twn
东森幼幼,http://150.138.77.132:10037/xxw/Smartv.php?id=yoyo_twn
卫视电影,http://150.138.77.132:10037/xxw/Smartv.php?id=weishimovie_twn
美亚电影,http://150.138.77.132:10037/xxw/Smartv.php?id=meiyamovie_twn  
Elta影剧,http://150.138.77.132:10037/xxw/Smartv.php?id=eltayingju_twn
Elta综合,http://150.138.77.132:10037/xxw/Smartv.php?id=eltazonghe_twn
星卫电影,http://150.138.77.132:10037/xxw/Smartv.php?id=xingwei_movie
AFC亚洲旅游,http://150.138.77.132:10037/xxw/Smartv.php?id=asiatravel_twn

Astro华丽,http://150.138.77.132:10037/xxw/Smartv.php?id=Wlt
Astro欢喜,http://150.138.77.132:10037/xxw/Smartv.php?id=Huahee
Astro全佳,http://150.138.77.132:10037/xxw/Smartv.php?id=Quanjia
翡翠,http://150.138.77.132:10037/xxw/Smartv.php?id=Tvbjade
TVB Asia,http://150.138.77.132:10037/xxw/Smartv.php?id=Tvbasia
TVB Entertainment,http://150.138.77.132:10037/xxw/Smartv.php?id=Tvbentertainment
TVB Classic,http://150.138.77.132:10037/xxw/Smartv.php?id=Tvbclassic
Astro AOD,http://150.138.77.132:10037/xxw/Smartv.php?id=Aodhd
TVB星河,http://150.138.77.132:10037/xxw/Smartv.php?id=Xinhe
Astro爱奇艺,http://150.138.77.132:10037/xxw/Smartv.php?id=Qiyi#http://php.jdshipin.com/smtv.php?id=Qiyi#http://php.jdshipin.com/smt.php?id=Qiyi

Plus综合频高,http://php.jdshipin.com/PLTV/iptv.php?id=tvbp
TVBJ1美频高,http://php.jdshipin.com/PLTV/iptv.php?id=j1
凤凰中文频高,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文频高,https://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文频标,http://43.129.81.169/qctv.fengshows.cn/live/0701pcc72.flv
凤凰资讯频高,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯频高,https://cdn6.163189.xyz/live/fhzx/stream.m3u8
凤凰资讯频标,http://43.129.81.169/qctv.fengshows.cn/live/0701pin72.flv
凤凰香港频高,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港频高,https://cdn6.163189.xyz/live/fhhk/stream.m3u8
凤凰香港频标,http://43.129.81.169/qctv.fengshows.cn/live/0701phk72.flv
有线新闻频道,http://beishan008.asuscomm.com:8891/bysid/78.m3u8
有线综合频粤,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
有线综合频国,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
无线新闻频高,http://beishan008.asuscomm.com:8890/bysid/83.m3u8
无线翡翠频4k,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
无线翡翠频4k,http://cdn.163189.xyz/live/fct4k/stream.m3u8
无线翡翠频高,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
无线翡翠频高,https://cdn3.163189.xyz/live/live2.1.php?id.m3u8
无线翡翠频高,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
无线翡翠频标,http://php.jdshipin.com/smt.php?id=jade_twn
无线翡翠频标,http://php.jdshipin.com/TVOD/iptv.php?id=fct
无线华丽频标,http://php.jdshipin.com/smt.php?id=Tvbjade
无线千禧频标,http://php.jdshipin.com/smt.php?id=Tvbclassic
天映频道频标,http://php.jdshipin.com/smt.php?id=Celestial
天映经典频标,http://php.jdshipin.com/smt.php?id=Celestial2
无线明珠粤高,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
无线明珠英标,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
无线星河频标,http://php.jdshipin.com/smt.php?id=Xinhe
无线娱乐频标,http://php.jdshipin.com/smt.php?id=Tvbentertainment 
美亚电影频高,http://php.jdshipin.com/TVOD/iptv.php?id=meiya  
重温经典频高,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
澳视澳门频高,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星频高,http://php.jdshipin.com/TVOD/iptv.php?id=as
VIUTV粤频标,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
RTHK-31频高,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK-31频高,https://cdn5.163189.xyz/live/rthk31/stream.m3u8
